id,advantage,city,education,industry,label,position_detail,position_name,salary,size,stage,work_year
19,六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，健身瑜伽，过亿用户，职业大牛，晋升空间，团队氛围好，优厚薪资,北京,本科,移动互联网,"'扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴'",职位描述：        职位职责：1、深入了解业务，定义客户、销售、线索等多维度的核心指标；2、获取并分析数据，定位业务问题，给出解决方案；3、开展业务分析，制定客户增长、留存、分级、推荐等策略，并推进策略落地；4、设计业务监控及报表体系，为业务提供决策支持。职位要求：1、本科以上学历，统计学相关专业优先；2、1年以上数据产品、数据分析、数据策略等工作经验；3、熟练掌握SQL语言，了解Hadoop/Hive/数据库设计经验优先；4、具有快速的业务理解及学习能力，逻辑思维、自我驱动、抗压能力强；5、有广告投放、客户增长相关经验者优先。        ,数据分析师,22500,2000人以上,C轮,1-3年
22,核心业务，创新团队,北京,本科,移动互联网,,职位描述：职位描述：1、负责互联网产品的运营数据分析体系搭建；2、负责决策及市场数据模型、平台、产品的规划建设；3、参与构建各种分析模型，跟踪和分析运营数据，发现潜在的缺陷与机会，为业务决策提供数据支撑，并推进落地；任职要求：1、本科及以上学历；2、3年以上数据运营、数据分析工作经验；3、熟练使用SAS、SPSS、R、Excel等工具，了解常用数据挖掘方法和模型；4、对数据敏感；5、良好的逻辑分析能力和文字表达能力；6、良好的沟通交流、团队合作精神及项目管理能力；7、具备互联网行业项目经验者优先，具备hadoop+hive使用经验者优先，具备海量数据挖掘项目经验者优先；,数据分析师,25000,2000人以上,上市公司,3-5年
24,"移动金融,未来金矿,精英团队,助力成长",上海,本科,移动互联网,"'股票期权', '通讯津贴', '交通补助', '午餐补助'",职位描述：职位描述：岗位简述为业务分析提供数据支持并且建立监控体系。利用扎实的数据技术功底，进行海量数据的处理和数据指标体系的基建工作，能建立分析框架，能够进行量化分析和数据挖掘。岗位职责?针对业务的问题，通过使用SQL/Hive等工具对数据的清洗、特征抽取、分析，得出有效的结论，推动业务优化。使用SPSS/R/Python/SAS等工具，针对业务的需求进行建模，得出有效的业务分析结论，并撰写业务分析报告。基于对业务的了解，建立从宏观到微观的数据指标观测体系。建立业务分析框架，指导用户经营。任职要求能够熟练使用EXCEL、SAS、SPSS、R等常用数据分析或挖掘工具，数据分析基本功扎实；能够快速理解业务，思维活跃，能分析解读用户数据、运营数据；具有非常强的归纳总结能力及逻辑思维能力，能够从数据中挖掘业务线索，通过数据的层层拆解解决业务问题。具备责任心和认真负责的工作态度，具有良好沟通表达能力，和撰写商业分析报告的能力。熟悉Hive数据仓库架构、熟悉数据建模，精通SQL编程，具备海量数据加工处理（ETL）相关经验的优先；,数据分析师,25000,150-500人,不需要融资,3-5年
25,团队棒,北京,本科,移动互联网,"'股票期权', '免费三餐', '打车报销', '14薪'",职位描述：工作职责:1、结合业务的发展目标，建立用户全生命周期分析，追踪分析用户行为，最大化用户价值 ? ? ?2、通过数据分析挖掘和研究用户需求，产出分析成果为产品改进提供数据支持，帮助完成产品优化常态化输出反馈分析报告，提供给渠道、运营、产品线负责人，支撑进行产品线决策3、沉淀日常分析需求，搭建平台化数据分析体系，建立例行的数据监控和汇报机制4、优化和改进现有的数据统计和报表系统，提升分析效率5、透过用户行为数据分析，明确潜在商业化价值，提出增值方案任职资格:年以上相关经验，统计、数学、计算机、经济、金融相关专业；良好的分析能力和逻辑思维，具备条理性、数据敏感性；工作严谨，责任心强，执行力高，有团队意识；掌握python等一门脚本语言加分项。,数据分析师,27500,2000人以上,C轮,3-5年
27,海量数据,北京,本科,移动互联网,"'弹性工作', '扁平管理', '氛围好', '年度体检'",职位描述：岗位职责:1、负责马蜂窝相关业务数据分析，定期完成日、周、月、季报等数据报告工作2、通过用户行为分析，挖掘用户偏好，指导产品改进和运营活动优化3、梳理并构建商业化部门数据体系，策划并推动数据产品化任职资格:1、本科及以上学历，统计学、应用数学相关专业优先考虑2、2年以上互联网数据分析经验，熟练使用SQL，具备基本的编程能力3、具有一定的数据挖掘、数据建模能力，能够熟练使用统计工具软件者优先4、具有较强的学习能力，良好的逻辑分析能力与沟通能力,数据分析师,22500,500-2000人,D轮及以上,1-3年
30,"免费三餐,不打卡,晋升空间,带薪年假",北京,本科,移动互联网,"'股票期权', '带薪年假', '绩效奖金', '扁平管理'",职位描述：工作职责:1、熟悉互联网行业常用数据分析指标，掌握产品运营数据的监控和分析方法；2、熟悉用户分析方法论，深掘用户价值；2、熟悉数据仓库，能尽快熟悉公司的数据源和提数环境，能按需求准确及时的提取符合要求的数据；3、对数据敏感，建设、完善数据报告体系，提升现有数据分析的便捷性和深度；4、具有独立承担复杂分析任务的能力，支持各方不定期的数据相关需求；任职资格:1、本科及以上学历，3年以上IT/互联网数据分析或大数据相关岗位工作经验；2、熟悉数据分析领域常见产品，了解数据挖掘的相关知识，对数据采集、加工、可视化有深入理解，有大数据相关从业经验优先；3、熟悉Hive、SQL、Oracle、MySQL，熟悉数据库相关工具；4、对商业数据分析和业务逻辑敏感，具备较强的创新思维和逻辑分析能力；5、精通Excel、PPT、Xmind等办公软件，具备良好的书面和口头表达能力；6、数学、统计学或计算机专业毕业者优先；7、具有良好的组织沟通能力和团队精神，讲诚信，执行力强，愿意分享和承担责任；8、有用户画像、用户洞察等项目经验优先。,数据分析师,27500,2000人以上,C轮,3-5年
36,"领导好,发展快",北京,本科,移动互联网,,职位描述：工作职责：1.? 独立负责公司业务数据收集、整理，构建相关系统报表，并分析，为公司决策提供依据2.? 通过数据监督公司业务发展情况，为业务调整提供数据支持3.? 提供公司所需更重数据，并进行数据清洗、分析等任职资格：1.? 本科以上学历，统计、数学、计算机等相关专业2.? 3年以上数据分析相关工作经验，熟悉数据挖掘的基本原来，熟悉数据库基本原理，熟练运用SQL3.? 良好的数据敏感度，能从海量数据提炼核心结果，熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题，给出建议；4.? 具备良好的沟通能力和团队精神，较强的学习能力，能承担一定的工作压力,数据分析师,22500,2000人以上,上市公司,3-5年
38,"绩效奖金,年底双薪,餐补,房补",北京,本科,移动互联网,"'丰厚年薪', '六险一金', '健康体检', '带薪年假'",职位描述：工作职责：1.基于业务逻辑，建立业务数据模型，为团队提供反映产品和运营状况的数据报表；2.持续跟踪业务数据，监测业务发展态势，为业务指标异常提供预警、监测和解读；3.深入理解AB实验，熟悉评估AB实验的理论方法，推动基于AB实验的策略迭代；4.结合行业数据、业界观点和市场趋势，为长期业务发展方向提供战略层面的意见和建议。任职资格：1.对数据敏感，逻辑严谨，责任心强，工作主动自驱，沟通能力强；2.有互联网工作经验，对互联网产品和服务兴趣浓厚；3.受过统计学训练，了解基本的统计理论和常见的统计模型，有一定的数据库基础，熟练使用sql；4.熟练使用excel、R或Python等数据分析和统计分析工具；5.有数据建模、Abtest经验优先；统计、数学专业优先；以及编程能力较强者优先。,数据分析师,22500,2000人以上,A轮,5-10年
43,"准上市公司,平台大,福利多,晋升空间大",深圳,本科,移动互联网,"'带薪年假', '弹性工作时间', '年度旅游', '岗位晋升'","职位描述：职位诱惑：准上市公司,发展空间大,平台稳定职位描述：岗位职责：1.根据具体业务需求和KPI为导向，从产品运营、用户分析等方向提供数据分析服务，并根据分析结果提供决策建议；2.深入了解用户行为和流量，根据用户具体应用场景，发掘产品用户流量增长机会，帮助业务部门完成KPI；3.通过对海量数据进行分析和挖掘，提炼出用户特征、行为路径，建立用户流量分群模型，科学性指导和协助运营部门提升流量分发效率和利用率；4.掌握业务核心指标，了解转化漏斗模型思维架构（AARRR），探索和建立流量增长体系，最终通过数据驱动业务部门提升变现转化效率，实现数据分析价值；5.管理和带领组内数据运营和分析人员。任职要求：1.本科及以上学历，计算机、数据、统计学等专业优先；2.5年以上互联网数据分析工作经验，具有扎实的统计学，熟悉数据分析方法论；3.熟练使用Hive、SQL、R或者其他数据查询分析工具；4.对数据敏感和有批判精神，具备丰富的数据分析经验和较强的逻辑思维能力；5.积极主动，具有自我驱动和决策能力，在与团队充分沟通前提下有充分自由决定做什么；6.具备高度责任心和团队协作精神，有一定的团队带领能力，善于主动沟通，抗压性强。",数据分析师,22500,500-2000人,C轮,3-5年
44,"行业top,成长空间大,核心团队,团队氛围好",北京,本科,金融,"'管理规范', '技能培训', '扁平管理', '弹性工作'",职位描述：岗位职责：1、负责各产品线的日常业务数据，对运营数据负责，完善部门数据支撑平台；2、建立起完善的产品、运营数据监控系统，每日监测并分析相关数据，为产品及运营方向和思路的调整，提供决策支持；3、能够及时从数据中发现运营、产品流程问题，并协助输出完善的产品、运营优化方案；4、响应产品/运营活动等数据分析需求，定期进行数据分析报告撰写及数据汇报工作；5、用户行为分析，跟踪用户的访问路径，分析用户的操作行为数据，对提升用户留存和转化提出合理建议。对用户进行用户画像，建立用户标签 ，为精准化运营提供数据分析支撑。岗位要求：1、全日制本科及以上学历，计算机、数学、统计等相关专业，5年以上数据分析工作经验，可独立完成数据分析项目；2、对业务逻辑有良好的数据敏感度，有较强的数据分析及数据挖掘能力，具有良好分析报告撰写能力；3、对普惠金融、信贷行业有一定了解，熟悉信贷融产品运营流程优先；4、有敏锐的市场洞察能力，良好的沟通协作能力和团队协作意识，抗压能力强；5、需要根据业务洞察发现结果，对产品进行数据建模；6、需要掌握的数据语言：熟练掌握SQL/Python/Spark/SAS等,数据分析师,45000,2000人以上,上市公司,3-5年
